01		Rodentologist	This bonus card's condition is ``Birds that eat [rodent]'', not ``Birds that only eat [rodent]'', and its clarification text is, ``Any bird with a [rodent] symbol. The bird may also eat other kinds of food." (These misprints were corrected in the third printing, and a corrected card is available in the update pack.)	Card update pack.
02g	Rerolling dice		Regular reroll rules apply whenever you have the opportunity to gain food from the birdfeeder.	https://www.stonemaiergames.com/games/wingspan/rules/
03a	Powers		Only powers of birds played on a player mat can be used. In particular, birds with the power ``This bird counts double toward the end-of-round goal, if it qualifies for the goal." (e.g., \textbf{Cetti’s Warbler}) does not count double toward the \textbf{[card] in hand} end-of-round goal.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Common Blackbird	If a bird (e.g., \textbf{Common Buzzard}) is played on top of this one, the top bird is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Common Buzzard	If this bird is played on top of a horizontal one (e.g., \textbf{Common Blackbird}), it is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Eurasian Hobby	If this bird is played on top of a horizontal one (e.g., \textbf{Common Blackbird}), it is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		European Roller	If a bird (e.g., \textbf{Common Buzzard}) is played on top of this one, the top bird is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Great Heron	If a bird (e.g., \textbf{Common Buzzard}) is played on top of this one, the top bird is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Long-Tailed Tit	If a bird (e.g., \textbf{Common Buzzard}) is played on top of this one, the top bird is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Montagu's Harrier	If this bird is played on top of a horizontal one (e.g., \textbf{Common Blackbird}), it is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03b		Red Kite	If this bird is played on top of a horizontal one (e.g., \textbf{Common Blackbird}), it is also placed horizontally and occupies both columns.	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
03c		Montagu's Harrier	Even when using this bird's power to play it on top of another bird, this bird may only be played in [grassland].	https://www.stonemaiergames.com/games/wingspan/wingspan-european-expansion/
20190117		Great Crested Flycatcher	When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543
20190117		Indigo Bunting	When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543
20190117		Rose-Breasted Grosbeak	When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543
20190117		Western Tanager	When using this bird's power, if all [die] in the birdfeeder show the same face you may reroll before taking food.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-30543
20190122	Sets of [egg][egg][egg] in [forest][grassland][wetland]		A player's score for this goal tile is the minimum of the counts of eggs in each of their habitats.	https://www.boardgamegeek.com/thread/2134349/article/31052545#31052545
20190127		Gray Catbird	This bird's power activates another bird's brown power, and it may activate a bird's power regardless of whether that bird is to the left or right of this bird.	https://www.boardgamegeek.com/thread/2139859/article/31096068#31096068
20190127		Hooded Merganser	This bird's power activates another bird's brown power, and it may activate a bird's power regardless of whether that bird is to the left or right of this bird.	https://www.boardgamegeek.com/thread/2139859/article/31096068#31096068
20190127		Northern Mockingbird	This bird's power activates another bird's brown power, and it may activate a bird's power regardless of whether that bird is to the left or right of this bird.	https://www.boardgamegeek.com/thread/2139859/article/31096068#31096068
20190128		House Wren	When using this bird's power, the additional bird must be played in the same habitat as this bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-30838
20190203		Brewer's Blackbird	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190203		Bushtit	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190203		Common Grackle	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190203		Dickcissel	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190203		Red-Winged Blackbird	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190203		Yellow-Headed Blackbird	If this bird already has the maximum number of [egg] on it, you may still use its power to tuck a [card].	https://www.boardgamegeek.com/thread/2144148/article/31158388#31158388
20190205	Once between turns		You may use a pink power during another player's turn after your last turn of the game.	https://www.boardgamegeek.com/thread/2145421/article/31177235#31177235
20190309		Downy Woodpecker	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Eastern Bluebird	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Great Blue Heron	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Great Egret	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		House Wren	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Mountain Bluebird	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Red-Eyed Vireo	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Ruby-Crowned Kinglet	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Savannah Sparrow	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190309		Tufted Titmouse	If you use this bird's power to play another bird with a ``play a second bird'' power, you may then use the latter bird's power to play yet another bird.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31474
20190311		American Oystercatcher	When using this bird's power in a game against the Automa, draw 3 [card], keep 2 of them, and discard the other.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31504
20190313	Once between turns		You may activate each ``once between turns'' power on a bird on your player mat once between each of your turns.	https://www.facebook.com/groups/wingspanboardgame/permalink/312352352801707/?comment_id=312354036134872&reply_comment_id=312437246126551
20190406		Lazuli Bunting	If you use this bird's power to lay 2 [egg], they must be laid on different [bowl]/[star] birds.	https://www.facebook.com/groups/wingspanboardgame/permalink/322004815169794/?comment_id=322006528502956
20190406		Pileated Woodpecker	If you use this bird's power to lay 2 [egg], they must be laid on different [cavity]/[star] birds.	https://www.facebook.com/groups/wingspanboardgame/permalink/322004815169794/?comment_id=322006528502956
20190406		Western Meadowlark	If you use this bird's power to lay 2 [egg], they must be laid on different [ground]/[star] birds.	https://www.facebook.com/groups/wingspanboardgame/permalink/322004815169794/?comment_id=322006528502956
20190522		Burrowing Owl	This bird does not count toward the \textbf{Anatomist} bonus card.	https://www.boardgamegeek.com/thread/2207647/article/32048074#32048074
20190601	Rerolling dice		You may only reroll dice when gaining food from the birdfeeder and not when gaining food from the supply.	https://www.boardgamegeek.com/thread/2208584/article/32288825#32288825
20190724		Anatomist	The only keywords that qualify a bird to count toward this bonus card are those listed thereon and those in the relevant sections of the expansion rulebooks. Substrings of bird names that coincide with names of body parts do not count toward the bonus when not referring to body parts (e.g., the \textit{wing} in \textbf{Burrowing Owl}).	https://www.facebook.com/groups/wingspanboardgame/permalink/373729773330631/?comment_id=373775476659394&reply_comment_id=373779623325646
20190724		Barred Owl	This bird does not count toward the \textbf{Photographer} bonus card.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-31995
20190729		Barrow's Goldeneye	This bird counts toward the \textbf{Photographer} bonus card.	https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727
20190729		Common Goldeneye	This bird counts toward the \textbf{Photographer} bonus card.	https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727
20190729		Eurasian Golden Oriole	This bird counts toward the \textbf{Photographer} bonus card.	https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727
20190729		Golden Eagle	This bird counts toward the \textbf{Photographer} bonus card.	https://www.boardgamegeek.com/thread/2246435/article/32571727#32571727
20190908	End of your turn		You may perform an action even if it precludes you from performing an action required at the end of your turn (e.g., discarding a [card] from your hand at the end of a turn in which you activated the \textbf{Black Tern}'s power).	https://www.facebook.com/groups/wingspanboardgame/permalink/397335327636742/?comment_id=397350010968607
20191010	End of your turn		If you perform more than one action ``at the end of your turn'', you may perform those actions in any order.	https://www.facebook.com/groups/wingspanboardgame/permalink/414814145888860/?comment_id=415023839201224&reply_comment_id=415302489173359
20191126a		Snow Bunting	This bird counts toward the \textbf{Photographer} bonus card.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-35706
20191126b		American Redstart	This bird's power lets you take 1 food from the birdfeeder, as if [wild] were replaced by [die] in the power text.	https://www.facebook.com/groups/wingspanboardgame/permalink/447732882596986/?comment_id=447733369263604
20191127		Greater Flamingo	This bird's power is brown despite its entry in the \textit{European Expansion} rulebook appendix.	https://www.facebook.com/groups/wingspanboardgame/permalink/448650129171928/?comment_id=448787489158192
20191202	End-of-round goal		A card in your hand with the power, ``This bird counts double toward the end-of-round goal, if it qualifies for the goal.'' (e.g., \textbf{Cetti's Warbler}), does not count toward end-of-round goals.	https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183
20191203a		Northern Bobwhite	This bird counts toward the \textbf{Photographer} bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/450308885672719/?comment_id=450451978991743&reply_comment_id=452668538770087
20191203b		Photographer	The only keywords that qualify a bird to count toward this bonus card are those listed thereon, those in the relevant sections of the expansion rulebooks (excluding \textit{honey} in the \textit{European Expansion} rulebook---see \textbf{Honey}), and \textit{violet}. (\textit{Violet} currently occurs only on the \textbf{Violet-Green Swallow}, which already contains another keyword for this bonus card.) Substrings of bird names that coincide with color names do not count toward this bonus when not referring to colors (e.g., the \textit{red} in \textbf{Barred Owl}), but see \textbf{Northern Bobwhite}.	https://www.facebook.com/groups/wingspanboardgame/permalink/373729773330631/?comment_id=373775476659394&reply_comment_id=373779623325646
20191203c	Violet		The word \textit{violet} is a keyword for the \textbf{Photographer} bonus card. (This keyword currently occurs only on the \textbf{Violet-Green Swallow}, which already contains another keyword for \textbf{Photographer}.) 	https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980
20191204		Moltoni's Warbler	If you use this bird's power to play another bird with a teal power, you may resolve that power at any point among your other remaining teal powers.	https://www.boardgamegeek.com/thread/2324875/article/33515239#33515239
20191204		White Wagtail	If you use this bird's power to play another bird with a teal power, you may resolve that power at any point among your other remaining teal powers.	https://www.boardgamegeek.com/thread/2324875/article/33515239#33515239
20191204		Yellowhammer	If you use this bird's power to play another bird with a teal power, you may resolve that power at any point among your other remaining teal powers.	https://www.boardgamegeek.com/thread/2324875/article/33515239#33515239
20191207		American Redstart	This bird does not count toward the \textbf{Anatomist} bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980&reply_comment_id=455637778473163
20191207		Black Redstart	This bird does not count toward the \textbf{Anatomist} bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980&reply_comment_id=455637778473163
20191207		Painted Whitestart	This bird does not count toward the \textbf{Anatomist} bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/453193798717561/?comment_id=453409608695980&reply_comment_id=455637778473163
20191229		Snow Bunting	When using this bird's power, draw the [card] from the bird tray before it is refilled.	https://www.boardgamegeek.com/thread/2336787/article/33673995#33673995
20200109a	Action		Unless specifically stated, your actions are assumed only to affect your player mat, supply, etc. (For example, the \textbf{American Avocet}'s power may not be used to lay an [egg] on another player's bird.)	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200109b		American Avocet	You may not use this bird's power to lay an [egg] on another player's bird.	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200109b		Barrow's Goldeneye	You may not use this bird's power to lay an [egg] on another player's bird.	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200109b		Bronzed Cowbird	You may not use this bird's power to lay an [egg] on another player's bird.	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200109b		Brown-Headed Cowbird	You may not use this bird's power to lay an [egg] on another player's bird.	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200109b		Yellow-Billed Cuckoo	You may not use this bird's power to lay an [egg] on another player's bird.	https://www.boardgamegeek.com/thread/2146296/article/33747572#33747572
20200116		Coal Tit	You may spend a [seed] cached on this bird anytime you can spend a [seed] from your supply.	https://www.facebook.com/groups/wingspanboardgame/permalink/486158122087795/?comment_id=486188425418098&reply_comment_id=486277005409240
20200116		Eurasian Nuthatch	You may spend a [seed] cached on this bird anytime you can spend a [seed] from your supply.	https://www.facebook.com/groups/wingspanboardgame/permalink/486158122087795/?comment_id=486188425418098&reply_comment_id=486277005409240
20200127		Eleonora's Falcon	A future printing of this card will have the [predator] symbol; for now, play the card as printed.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-36469
20200127		Mute Swan	A future printing of this card will have the [flocking] symbol; for now, play the card as printed.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-36469
20200203		Coal Tit	Food cached on this bird is ``used'' (for points) and hence does not count as unused food when breaking point ties while scoring.	https://www.boardgamegeek.com/thread/2361799/article/33951687#33951687
20200203		Eurasian Nuthatch	Food cached on this bird is ``used'' (for points) and hence does not count as unused food when breaking point ties while scoring.	https://www.boardgamegeek.com/thread/2361799/article/33951687#33951687
20200204		Greater Flamingo	Since this power is brown, when activating it in a game against the Automa the Automa always has zero action cubes in its [wetland].	https://www.boardgamegeek.com/thread/2331577/article/33966554#33966554
20200208	Once between turns		You may not use a pink power during your turn (when an opponent performs an action that would otherwise enable using such a power).	https://www.facebook.com/groups/wingspanboardgame/permalink/499161054120835/?comment_id=499167897453484
20200210		Cetti's Warbler	This bird counts double toward precisely the end-of-round bonuses that count birds, not those that count other quantities. When in your hand this card does not count toward end-of-round bonuses.	https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183
20200210		Eurasian Green Woodpecker	This bird counts double toward precisely the end-of-round bonuses that count birds, not those that count other quantities. When in your hand this card does not count toward end-of-round bonuses.	https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183
20200210		Greylag Goose	This bird counts double toward precisely the end-of-round bonuses that count birds, not those that count other quantities. When in your hand this card does not count toward end-of-round bonuses.	https://www.boardgamegeek.com/thread/2365136/article/34012183#34012183
20200222a		Citizen Scientist	In games where the Automa has drawn this bonus card, the Automa selects birds that have tucking powers; these powers are precisely those which contain the word `tuck' or `tucked'.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
20200229		Anatomist	On this bonus card `name' refers only to the common name, not the scientific name.	https://www.boardgamegeek.com/thread/2379284/article/34170036#34170036
20200229		Cartographer	On this bonus card `name' refers only to the common name, not the scientific name.	https://www.boardgamegeek.com/thread/2379284/article/34170036#34170036
20200229		Photographer	On this bonus card `name' refers only to the common name, not the scientific name.	https://www.boardgamegeek.com/thread/2379284/article/34170036#34170036
2020022b	It becomes a tucked card		Cards whose powers include the phrase ``it becomes a tucked card'' (e.g., \textbf{Common Buzzard}) qualify for the \textbf{Citizen Scientist} bonus card when the Automa has drawn it.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
2020022b		Common Buzzard	In games where the Automa has drawn the \textbf{Citizen Scientist} bonus card, this bird qualifies for that bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
2020022b		Eurasian Hobby	In games where the Automa has drawn the \textbf{Citizen Scientist} bonus card, this bird qualifies for that bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
2020022b		Montagu's Harrier	In games where the Automa has drawn the \textbf{Citizen Scientist} bonus card, this bird qualifies for that bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
2020022b		Red Kite	In games where the Automa has drawn the \textbf{Citizen Scientist} bonus card, this bird qualifies for that bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/507078829995724/?comment_id=507188399984767
20200330	Once between turns		If a pink power is triggered by a player using the ``gain food'', ``lay eggs'', or ``draw bird cards'' action, the pink power is resolved after the player collects the resources indicated on the player mat but before any brown powers in the corresponding row are activated. If a pink power is triggered by another bird's power, the pink power is resolved after the other bird's power has been resolved.	https://www.boardgamegeek.com/thread/2397920/article/34412077#34412077
20200404	Resources		Whenever you are entitled to gain resources, you may choose to take some but not all of the quantity specified.	https://www.stonemaiergames.com/games/wingspan/rules/#comment-37710
20200405		Bird Counter	A bird with a [flocking] power qualifies for this bonus card regardless of the color of that power despite the specification of brown powers in this bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Falconer	A bird with a [predator] power qualifies for this bonus card regardless of the color of that power despite the specification of brown powers in this bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Bonelli's Eagle	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Common Buzzard	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Common Starling	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Common Swift	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Eastern Imperial Eagle	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Eurasian Collared-Dove	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Eurasian Hobby	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Eurasian Sparrowhawk	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		European Goldfinch	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Hooded Crow	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Horned Lark	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		House Sparrow	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Montagu's Harrier	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Northern Goshawk	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Red Kite	This bird counts toward the \textbf{Falconer} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Ruff	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200405		Snow Bunting	This bird counts toward the \textbf{Bird Counter} bonus card despite the specification of brown powers in that bonus card's entry in the Appendix.	https://www.boardgamegeek.com/thread/2153031/article/34459426#34459426
20200511	Alternative cost		If you use a bird's power to play in the same habitat a bird an alternative food cost specified via an asterisk next to its food cost, you may pay the alternative cost (which thus counts as paying the bird's ``normal food cost'') instead of paying its food cost.	https://www.discord.com/channels/608588053052653580/693358238439047229/709127448922423368
20200617		American Oystercatcher	When using this bird's power, you may take the drawn cards from the deck and/or from the bird tray, despite this bird's entry in the Appendix.	https://www.boardgamegeek.com/thread/2449964/article/35131047#35131047
20200712	Trade		``Trading'' counts as ``spending''.	https://www.facebook.com/groups/wingspanboardgame/?post_id=589893495047590&comment_id=589910088379264
20200712		Green Heron	``Trading'' counts as ``spending''.	https://www.facebook.com/groups/wingspanboardgame/?post_id=589893495047590&comment_id=589910088379264
20200716a	Appendix		If information printed on a card conflicts with the card's appendix entry, the information on the card takes precedence. (See \textbf{American Oystercatcher}, \textbf{Belted Kingfisher}, and \textbf{Eastern Kingbird}.)	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716a		Belted Kingfisher	This bird's power is triggered by another player playing a bird in their [wetland] during their turn, even when not using the ``play a bird'' card action to do so (instead using, e.g., the \textbf{Common Moorhen}'s power), despite this bird's entry in the Appendix.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716a		Common Moorhen	Using this bird's power to play a bird in your [wetland] triggers the power of the \textbf{Belted Kingfisher} on another player's player mat, despite the \textbf{Belted Kingfisher}'s entry in the Appendix.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716a		Eastern Kingbird	This bird's power is triggered by another player playing a bird in their [forest] during their turn, even when not using the ``play a bird'' card action to do so (instead using, e.g., the \textbf{Goldcrest}'s power), despite this bird's entry in the Appendix.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716a		Goldcrest	Using this bird's power to play a bird in your [forest] triggers the power of the \textbf{Eastern Kingbird} on another player's player mat, despite the \textbf{Eastern Kingbird}'s entry in the Appendix.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716a		Short-Toed Treecreeper	Using this bird's power to play a bird in your [forest] triggers the power of the \textbf{Eastern Kingbird} on another player's player mat, despite the \textbf{Eastern Kingbird}'s entry in the Appendix.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592581981445408&comment_id=592771208093152
20200716b	[wild] [wild] $\Rightarrow$ [wild]		You may substitute 2 [wild] for any 1 food in a bird's food cost whenever you play a bird, including outside the scope of the ``play a bird'' action.	https://www.facebook.com/groups/wingspanboardgame/?post_id=592455651458041&comment_id=592685648101708&reply_comment_id=592771751426431
20200719		Green Heron	You may not use this bird's power to trade a food token for a food token of the same type.	https://www.facebook.com/groups/wingspanboardgame/?post_id=591878014849138&comment_id=591932641510342&reply_comment_id=594264341277172
20201003	Discard pile		Cards discarded to the discard pile are placed face up.	https://www.facebook.com/groups/wingspanboardgame/permalink/644780639558875/?comment_id=644981886205417&reply_comment_id=644982936205312
20201003	Discard pile		Players may look through the discard pile at any time.	https://www.facebook.com/groups/wingspanboardgame/permalink/644780639558875/?comment_id=644981886205417&reply_comment_id=644982936205312
20201009	Honey		As of the release of the Oceania Expansion, \textit{honey} is no longer a keyword for the \textbf{Photographer} bonus card.	Oceania Expansion rulebook
20201009		European Honey Buzzard	As of the release of the Oceania Expansion, \textit{honey} is no longer a keyword for the \textbf{Photographer} bonus card, and hence this bird no longer qualifies for it.	Oceania Expansion rulebook
20201009		Lewin's Honeyeater	As of the release of the Oceania Expansion, \textit{honey} is no longer a keyword for the \textbf{Photographer} bonus card, and hence this bird do not qualify for it.	Oceania Expansion rulebook
20201009		New Holland Honeyeater	As of the release of the Oceania Expansion, \textit{honey} is no longer a keyword for the \textbf{Photographer} bonus card, and hence this bird do not qualify for it.	Oceania Expansion rulebook
20201009		Rufous-Banded Honeyeater	As of the release of the Oceania Expansion, \textit{honey} is no longer a keyword for the \textbf{Photographer} bonus card, and hence this bird do not qualify for it.	Oceania Expansion rulebook
20201010		American Oystercatcher	When using this bird's power, you must draw all X+1 cards as instructed, since some of them are allocated to other players.	https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/
